N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"20-082";"COPROBECH PLUS";"LABORATORIOS RODENTHIA S.A";"Propio";
"20-083";"DORACUR";"INTERVET ARGENTINA SA";"Propio";
"20-084";"CHEMTEST VETSTRIP BRUCELLA CANINOS (SUERO)";"CHEMTEST ARGENTINA S.A.";"Propio";
"20-085";"OVERFEED PORCINOS";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"20-086";"KIT DIAGNOSTICO URANOTEST LEISHMANIA";"DERMOVET S.R.L.";"Propio";
"20-087";"NUTRAPRO ANTIAGE";"PROAGRO SA";"Propio";
"20-088";"CLOXACUM SELL";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"20-089";"DYSANTIC ";"VETANCO S. A.";"Propio";
"20-090";"SINCROVER AZUL";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"20-091";"POWER EXPERTA";"BROUWER SA";"Propio";
"20-092";"OVERCHECK";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"20-093";"BCAA AMITOINA SPORT HORSE";"SPORT.HORSE S.A";"Propio";
"20-094";"GLUCOGEN";"TECNOFARM S. R. L.";"Propio";
"20-095";"CHORMACTIV ORAL";"AGROINSUMOS S. A.";"Propio";
"20-096";"COPRODIGEST";"ATON SRL";"Propio";
"20-097";"TORACARD";"HOLLIDAY SCOTT S A";"Propio";
"20-099";"BIPRO BC30";"BIOVET S.R.L.";"Propio";
"20-100";"U20 ALOE VERA";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"20-101";"COMPLEJO HERBAL DEFENCE";"HOLLIDAY SCOTT S A";"Propio";
"20-102";"ZOOROTAVAC OLEO";"INSTITUTO ZOOVAC S.A.";"Propio";
"20-102";"ROTAVAC PLUS OLEO";"TECNOFARM S. R. L.";"Extensión";
"20-102";"ALLIANCE NEONAT J5";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Extensión";
"20-102";"PAULVAC ROTA COLI";"PROMOPET SRL";"Extensión";
"20-103";"CARDIOBENDAN COMPRIMIDOS PALATABLES";"KUALCOS SRL";"Propio";
"20-104";"ROCHY CURABICHERAS POLVO";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"20-105";"ROCHY CURABICHERAS LIQUIDO";"CEVA SALUD ANIMAL S.R.L.";"Propio";
