N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"25-118";"BIOAFTOGEN O+A+A";"BIOGENESIS BAGO S.A.";"Propio";
"25-119";"CDVAC AFTOSA BIVALENTE";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"25-119";"VACUNA ANTIAFTOSA BIVALENTE ACA";"ASOCIACION DE COOPERATIVAS ARGENTINAS - COOP. LTDA.";"Extensión";
"25-120";"BUPRENORFIN";"JOHN MARTIN SRL";"Propio";
"25-121";"PARATERMYL";"CEVASA S. A.";"Propio";
"25-122";"BIOCET FILM";"FUSION PAMPA SRL";"Propio";
"25-123";"SPOTMAX DUO GATOS";"VON FRANKEN S A I C";"Propio";
"25-124";"TANDON COX 2";"LABORATORIOS KONIG S A";"Propio";
"25-125";"FULL COLIRIO";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-126";"DOG OUT";"PROMOPET SRL";"Propio";
"25-127";"SHAMPOO OMEGA CHOCOLATE OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"25-128";"OVERGEST ORAL";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"25-129";"SHAMPOO PARA MASCOTAS SGE - COSMÉTICA CANINA KERA ARGAN";"LABORATORIOS WARMIC SAIYC";"Propio";
"25-130";"FIT COMPRIMIDOS";"AFFORD SA";"Propio";
"25-131";"ENJUAGUE OMEGA - CHOCOLATE OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"25-132";"EQUI- CARE REPEL- X";"EC LABS SA";"Propio";
"25-133";"CREMA DE ENJUAGUE SGE COSMETICA CANINA LITTLE KERA ARGAN";"LABORATORIOS WARMIC SAIYC";"Propio";
"25-134";"NEW YORK ROYAL PUPPIES PARFUM";"ROYAL PUPPIES S.R.L.";"Propio";
"25-135";"TRANEXBECH";"LABORATORIOS RODENTHIA S.A";"Propio";
"25-136";"SYNOQUIN GATOS";"AGROINSUMOS S. A.";"Propio";
"25-137";"CELOTEST CELESTE FLÚO";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-138";"AMINOÁCIDOS VIT ORAL";"CHINFIELD SA";"Propio";
"25-139";"SERENEX BIO FELINOS SPRAY";"LABORATORIOS KONIG S A";"Propio";
"25-140";"INTER TRIPLE COMPRIMIDOS";"LEON PHARMA S. R. L.";"Propio";
"25-141";"TABIC IB VAR";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-142";"VAXXITEK® HVT+IBD+ND";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"25-143";"VAXXITEK HVT+IBD+ILT ";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"25-144";"FLURAMAX";"VON FRANKEN S A I C";"Propio";
"25-145";"FLURAVET-C";"ALFA VET SA";"Propio";
"25-146";"CREATINA HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"25-147";"PROTECTOR HORSE SPORT";"FERNANDEZ PATRICIO LIONEL GUSTAVO";"Propio";
"25-149";"DERMAPET SEBOLITIC NF";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"25-150";"PETS-CALM";"LABORATORIO CAMABE S R L";"Propio";
"25-152";"SHAMPOO PARA MASCOTAS SGE  COSMÉTICA CANINA HERBAL ALOE";"LABORATORIOS WARMIC SAIYC";"Propio";
"25-153";"CELOCHECK AMARILLO";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"25-154";"BIOCEF";"CEVASA S. A.";"Propio";
"25-155";"GABADAY";"HOLLIDAY SCOTT S A";"Propio";
"25-156";"NOVONXT";"ZOETIS ARGENTINA S R L";"Propio";
"25-157";"FEED-X";"BEDSON S. A.";"Propio";
"25-158";"AMINO TRAINING";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"25-159";"CELOCHECK VERDE";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"25-160";"DELTA PGM";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"25-161";"METHIOMIN CU ZN";"MERVAK S.R.L.";"Propio";
"25-162";"PANACOXX";"INTERVET ARGENTINA SA";"Propio";
"25-163";"BRAVECTO 365";"INTERVET ARGENTINA SA";"Propio";
"25-164";"ANTA®PHYT NXT";"BEDSON S. A.";"Propio";
"25-165";"THIAMVET 50% PS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-166";"ALERTYS RUMIANT PREGNANCY TEST";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-167";"TRIAMCIVET-C";"ALFA VET SA";"Propio";
"25-168";"FLURACAN";"KW SRL";"Propio";
"25-170";"VAXXON FADV";"CEVASA S. A.";"Propio";
"25-171";"FLORXICAM B";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"25-172";"ADDIVET";"CHEMOVET S.A.";"Propio";
"25-173";"ABSOLUTE TOTAL TRAINING S.O.";"QUALYT BIOTECH S. R. L.";"Propio";
"25-174";"ACTIVE";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"25-175";"BIOZECTRA®";"BIOGENESIS BAGO S.A.";"Propio";
"25-176";"DICLAVET 1,5 WS";"ENSOL S A";"Propio";
"25-177";"DERMASTUDIO ECTOCARE NATURAL";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"25-178";"FARMAXILIN INYECTABLE";"CEVASA S. A.";"Propio";
"25-179";"CLOXIDINA ZERO SPRAY";"LEON PHARMA S. R. L.";"Propio";
"25-180";"ALERTYS MILK PREGNANCY TEST";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-181";"D-ZADONA";"DERMOVET S.R.L.";"Propio";
"25-182";"SERENEX COLLAR FELINOS";"LABORATORIOS KONIG S A";"Propio";
"25-183";"SULTRIMETOVET HS";"ENSOL S A";"Propio";
"25-184";"ONCOVET ITK/A";"CHEMOVET S.A.";"Propio";
"25-185";"BIOPAC CID";"M.CASSAB ARGENTINA S. A.";"Propio";
"25-186";"SEBOLYTIC";"CENTROVET ARGENTINA S.A.";"Propio";
"25-187";"DOG GAINER PROTEIN";"FERNANDEZ PATRICIO LIONEL GUSTAVO";"Propio";
"25-188";"A-Z-CU+";"VON FRANKEN S A I C";"Propio";
"25-189";"NOBIVAC RESPIRA BB";"INTERVET ARGENTINA SA";"Propio";
"25-190";"UTERXILAN MERVAK";"MERVAK S.R.L.";"Propio";
"25-191";"ULCERGAST VETEC";"VE TEC S A";"Propio";
"25-192";"WINTERGREEN CHINFIELD";"CHINFIELD SA";"Propio";
"25-193";"ARGOMISOL";"LABORATORIOS ARGOS S R L";"Propio";
"25-194";"TRIVIT ADE";"LABORATORIOS ARGOS S R L";"Propio";
"25-195";"RESPIRATOR JARABE";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"25-196";"DILUYENTE ESTÉRIL PARA VACUNA BOVILIS RB51®";"INTERVET ARGENTINA SA";"Propio";
"25-197";"NEXTMUNE";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-198";"FLORFENICOL PREMIX 10% BIOFARMA";"BIOFARMA S A";"Propio";
"25-199";"CELO PAINT ELMER AMARILLO";"AGREED LABORATORIOS S A";"Propio";
"25-200";"CELO PAINT ELMER VERDE";"AGREED LABORATORIOS S A";"Propio";
"25-201";"SULTRIMETOVET WS";"ENSOL S A";"Propio";
"25-202";"CELO PAINT ELMER CELESTE";"AGREED LABORATORIOS S A";"Propio";
"25-203";"CELO PAINT ELMER ROJO";"AGREED LABORATORIOS S A";"Propio";
"25-204";"SISTEMIC-K";"LEON PHARMA S. R. L.";"Propio";
"25-205";"ALERTYS ONFARM PREGNANCY";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-206";"CELOTEST AMARILLO FLÚO";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-207";"INSECTICIDE PLUS C + I";"ENSOL S A";"Propio";
"25-208";"BMPAC 50 SOLUBLE";"M.CASSAB ARGENTINA S. A.";"Propio";
"25-209";"DERMASTUDIO FRAGANCE CALM DOWN";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"25-210";"DISOLVENTE A3";"HIPRA ARGENTINA S.A.";"Propio";
"25-211";"LOCION DESODORANTE CON PERFUME CHOCOLATE OSSPRET";"LABORATORIOS OSSPRET S.A.";"Propio";
"25-212";"TOLTRAVET 5 DOZER";"ENSOL S A";"Propio";
"25-213";"PROPHYL S";"AMALGAMAR SRL";"Propio";
"25-214";"CASCOS SANOS TRIPLE ACCIÓN";"MTK CAMPO Y MASCOTAS";"Propio";
"25-215";"CDVAC AFTOSA TRIVALENTE";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"25-216";"PROVIDEAN VIRAFEL 3";"TECNOVAX S.A.";"Propio";
"25-217";"PORCILIS PCV M HYO ID";"INTERVET ARGENTINA SA";"Propio";
"25-218";"PETS-LEG";"LABORATORIO CAMABE S R L";"Propio";
"25-219";"DILUYENTE ESTÉRIL PARA VACUNA CONTRA LA ENFERMEDAD DE MAREK CEVA ";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-220";"TOLTRABECH 3.0";"LABORATORIOS RODENTHIA S.A";"Propio";
"25-221";"ARGOTOL PET";"BROUWER SA";"Propio";
"25-222";"GESTAVET HCG 1000/PMSG 2000";"BIOGENESIS BAGO S.A.";"Propio";
"25-223";"ANTITERMYL SOLUCIÓN";"CEVASA S. A.";"Propio";
"25-224";"PODOFEET MAX";"HYPRED ARGENTINA S A";"Propio";
"25-225";"AUPHYL PLUS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-226";"FLURON";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-227";"CARDIOSEMIDA COMPRIMIDOS PALATABLES";"KUALCOS SRL";"Propio";
"25-228";"TIOXITET";"BIAFAR SANIDAD ANIMAL SRL";"Propio";
"25-229";"EQUI-CARE PET DIVISION ODOR FREE";"EC LABS SA";"Propio";
"25-230";"FLOXANOL LEÓN PHARMA";"LEON PHARMA S. R. L.";"Propio";
"25-231";"MAITEN CREMA REPARADORA CON ACEITE DE CALÉNDULA";"MAITEN PETS";"Propio";
"25-232";"POULSHOT™ ADENO – 3";"SUIZO ARGENTINA SOCIEDAD ANONIMA";"Propio";
"25-233";"SHAMPOO 2 EN 1 PAÑOPET";"SIGMA LINE S R L";"Propio";
"25-234";"MAITEN SHAMPOO CON ALOE VERA Y ROSA MOSQUETA";"MAITEN PETS";"Propio";
"25-235";"CELOTEST VERDE FLÚO";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"25-236";"PROTIVITY";"ZOETIS ARGENTINA S R L";"Propio";
"25-237";"CUPRIFARMA PLUS 5";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"25-238";"CICLOCELL 0.5%";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"25-239";"TRITOL FORTE SUSPENSION ORAL";"AGROINSUMOS S. A.";"Propio";
"25-240";"NICILAN";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"25-241";"DERMASTUDIO FRAGANCE SENSE";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"25-242";"NUTRAPRO HYDRATIUM";"PROAGRO SA";"Propio";
"25-243";"CICLOCELL 2%";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"25-244";"VISTA PRO";"LABORATORIOS RODENTHIA S.A";"Propio";
"25-245";"CICLOCELL 0.2%";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"25-246";"ZIPYRAN PLUS CALIER";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"25-248";"A.I. GEL";"NETPORK S.A.";"Propio";
"25-249";"CEFTION INYECTABLE";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"25-250";"ENSOLVET FE-INY 20";"ENSOL S A";"Propio";
"25-251";"VETORYL 30 MG";"INNOSUR";"Propio";
"25-252";"VETORYL 10 MG";"BIOGENESIS BAGO S.A.";"Propio";
"25-253";"FENBIOTIC PASTA";"HOLLIDAY SCOTT S A";"Propio";
"25-254";"VETORYL 60 MG";"BIOGENESIS BAGO S.A.";"Propio";
"25-256";"APETIL M";"HOLLIDAY SCOTT S A";"Propio";
"25-257";"NEUMOFLOR INYECTABLE";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"25-258";"MAROVET";"CHEMOVET S.A.";"Propio";
"25-259";"ZURITOL 5%";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"25-260";"ZURITOL 2,5%";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"25-261";"BOV&DIU";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"25-262";"CARBEMOTON";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"25-263";"GLACOPET MAX";"PUNCH QUIMICA S A";"Propio";
"26-001";"ACIDO TIOCTICO MIRC";"MIRC PHARMA SRL";"Propio";
"26-002";"CHEMODERM ATOPICA/A";"CHEMOVET S.A.";"Propio";
"26-003";"FENBIOTIC BOCADITOS MASTICABLES";"HOLLIDAY SCOTT S A";"Propio";
"26-004";"ALERTYS RAPID VISUAL PREGNANCY";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"26-005";"PERFUME PARA MASCOTAS SGE – COSMÉTICA CANINA MELON";"LABORATORIOS WARMIC SAIYC";"Propio";
"26-006";"LITTERGUARD";"ZOETIS ARGENTINA S R L";"Propio";
"26-007";"ACIFLUX SUSPENSIÓN";"CARVAL ARGENTINA S.R.L";"Propio";
"26-008";"SERENEX BIO CANINOS DIFUSOR";"LABORATORIOS KONIG S A";"Propio";
"26-009";"SERENEX BIO FELINOS DIFUSOR";"LABORATORIOS KONIG S A";"Propio";
"26-010";"ALGICAM GEL";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"26-011";"MOXIPLUS EQUI";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"26-012";"ONE PEROX 75";"CLADAN SA";"Propio";
"26-013";"SHAMPOO ZOOPROF PH NEUTRO";"LUARPROF S.R.L.";"Propio";
"26-014";"SMECTITE PROSER";"PRO SER SA";"Propio";
"26-015";"DILUENTE SQ BLUE";"ZOETIS ARGENTINA S R L";"Propio";
"26-016";"SUPRALINE COMPRIMIDOS";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-017";"5 DAY";"POWER HORSES AND PETS S.A.";"Propio";
"26-018";"FORTESEL ADE + ZINC ";"LEON PHARMA S. R. L.";"Propio";
"26-019";"FLUVAC INNOVATOR 5";"ZOETIS ARGENTINA S R L";"Propio";
"26-020";"RICOBENDAZOLE ROSENBUSCH";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"26-021";"ELECTROLITE HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"26-022";"BIOSANEX";"DIVITA GASTON CARLOS";"Propio";
"26-023";"VITASEM";"NETPORK S.A.";"Propio";
"26-024";"ECTOKUR";"LABORATORIOS AVIAR S A";"Propio";
"26-025";"SHAMPOO ZOOPROF DESODORIZANTE";"LUARPROF S.R.L.";"Propio";
"26-026";"CEVAGEL®";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"26-027";"CONARFLEX PLUS";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"26-028";"MD-VAC CHECK";"ZOETIS ARGENTINA S R L";"Propio";
"26-029";"ZENRELIA";"INNOSUR";"Propio";
"26-030";"OUROVAC AFTOSA";"TECNOVAX S.A.";"Propio";
"26-031";"OPHTHALMOVET";"CHEMOVET S.A.";"Propio";
"26-032";"EQ ZONA";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-033";"ECTHOLANER BOCADITOS MASTICABLES";"HOLLIDAY SCOTT S A";"Propio";
"26-034";"SPYN PLUS";"ATON SRL";"Propio";
"26-035";"SPYDEC";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"26-036";"ID® SCREEN AUJESZKY GB COMPETITION";"IMMUNOLOGY SRL";"Propio";
"26-037";"COLOMB PLAT - DUO";"PLATALAB S.A.";"Propio";
"26-038";"POULVAC PROCERTA HVT-IBD-ND ";"ZOETIS ARGENTINA S R L";"Propio";
"26-039";"POULVAC PROCERTA HVT-IBD ";"ZOETIS ARGENTINA S R L";"Propio";
"26-040";"HARMONY PETS DIFUSOR";"DERMOVET S.R.L.";"Propio";
"26-041";"BIOSECUR PMS";"PRO NUTRICION S.A.";"Propio";
"26-042";"T4 TOTAL CANINA (CLIA)";"BERNARDO LEW E HIJOS S.R.L.";"Propio";
"26-043";"DECTOMAX V";"ZOETIS ARGENTINA S R L";"Propio";
"26-044";"TRIPLE ORAL";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"26-045";"ANTIFRIZZ - PERFECT LISS SHAMPOO PARIS";"ROYAL PUPPIES S.R.L.";"Propio";
"26-046";"PRIMUN SALMONELLA T";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-047";"HARMONY PETS TOALLITAS";"DERMOVET S.R.L.";"Propio";
"26-048";"GRAMAUT COMPRIMIDOS";"AGROINSUMOS S. A.";"Propio";
"26-049";"FLUBENBASE";"CEVASA S. A.";"Propio";
"26-050";"LANASAN POUR ON";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"26-051";"FLURON PLATINUM";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"26-052";"T4 LIBRE CANINA (CLIA)";"BERNARDO LEW E HIJOS S.R.L.";"Propio";
"26-053";"TEAT KOTE PLUS";"GEA FARM TECHNOLOGIES ARGENTINA S R L";"Propio";
"26-055";"RANITIDINA ARGOS";"LABORATORIOS ARGOS S R L";"Propio";
"26-056";"BOVILIS CRYPTIUM";"INTERVET ARGENTINA SA";"Propio";
"26-057";"INGELVAC® AUJESZKY MLV";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"26-058";"SOLUCIÓN RINGER LACTATO JAYOR";"LABORATORIOS JAYOR S.R.L.";"Propio";
"26-059";"CALCITOP";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"26-060";"SERENEX COLLAR CANINOS";"LABORATORIOS KONIG S A";"Propio";
"26-061";"CLOSTRI 10 +P";"PROMOPET SRL";"Propio";
"26-062";"GONASER";"BIOGENESIS BAGO S.A.";"Propio";
"26-063";"TETRACYN LA PLUS";"LABORATORIOS ARGOS S R L";"Propio";
"26-064";"SITOGEN SUSPENSIÓN";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"26-065";"CLODROPHOS INYECTABLE";"DISTRIBUIDORA SAN JAVIER SRL";"Propio";
"26-066";"OXIBAC 70";"CEVASA S. A.";"Propio";
"26-067";"CANINE TSH (CLIA)";"BERNARDO LEW E HIJOS S.R.L.";"Propio";
"26-069";"VET DESINFLAMANTE";"VET TECHNOLOGIES ARGENTINA";"Propio";
"26-070";"HARMONY PETS SPRAY";"DERMOVET S.R.L.";"Propio";
"26-071";"CANINE ACTH (CLIA)";"BERNARDO LEW E HIJOS S.R.L.";"Propio";
"26-072";"BALSAM - SOFT CONDITIONER PARIS";"ROYAL PUPPIES S.R.L.";"Propio";
"26-073";"VOLUMIZER - BEAUTY SHAMPOO PARIS";"ROYAL PUPPIES S.R.L.";"Propio";
"26-074";"CETLE COMPRIMIDOS";"AGROINSUMOS S. A.";"Propio";
"26-075";"ELURA";"INNOSUR";"Propio";
"26-076";"AMICIDE AQUA";"VETANCO S. A.";"Propio";
"26-077";"OVERTEL PASTA";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"26-078";"CHIC N° 3";"AGREED LABORATORIOS S A";"Propio";
"26-079";"ACTYL POUR-ON";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-080";" ENSOLCOX RB 6";"ENSOL S A";"Propio";
"26-081";"EQUI-CARE BRILLO +";"EC LABS SA";"Propio";
"26-082";"APIFIX UNGÜENTO";"DERMOVET S.R.L.";"Propio";
"26-083";"DISOLVENTE ACUOSO ROJO";"HIPRA ARGENTINA S.A.";"Propio";
"26-084";"DUOMOXIV COMPRIMIDOS";"AGROINSUMOS S. A.";"Propio";
"26-085";"FLUBENZIM PREMIX";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-086";"EPRINOVET MULTI";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-087";"CHIC N°1";"AGREED LABORATORIOS S A";"Propio";
"26-088";"CHIC N° 4";"AGREED LABORATORIOS S A";"Propio";
"26-089";"SINPAR PERROS SUSPENSIÓN";"LABORATORIO LAMAR S.R.L.";"Propio";
"26-090";"ACTIFOS";"VETANCO S. A.";"Propio";
"26-091";"TRITOHEXIDIN SKINWASH";"LABORATORIO TRITON VET SRL";"Propio";
"26-092";"GLUTAVIT TOTAL RECOVERY";"LABORATORIOS RODENTHIA S.A";"Propio";
"26-093";"GLUTAQUAT FAEVE";"FAEVE SOCIEDAD ANONIMA";"Propio";
"26-094";"DESINFECSOL AQ PLUS";"ENSOL S A";"Propio";
"26-095";"CHAMPÚ CACHORROS PET CLEAN";"AVAIRAM S.A.";"Propio";
"26-096";"PRO-CELL";"ZOETIS ARGENTINA S R L";"Propio";
"26-097";"COLORANTE ESTÉRIL";"INTERVET ARGENTINA SA";"Propio";
"26-098";"TREOXIN PLUS";"CEVASA S. A.";"Propio";
"26-099";"LACTIPRO NXT";"VETANCO S. A.";"Propio";
"26-100";"BRONQUITIS AR07 INMUNER";"LABORATORIOS INMUNER S A I Y C";"Propio";
"26-101";"INNOVAX ILT IBD";"INTERVET ARGENTINA SA";"Propio";
"26-102";"CALIERDOXINA 50% ORAL CALIER";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-103";"TREOXIN";"CEVASA S. A.";"Propio";
"26-104";"CALIDEX-G";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-105";"VETECORH";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-106";"TRITOHEXIDIN SKINCLEAN";"LABORATORIO TRITON VET SRL";"Propio";
"26-107";"ALL-WEATHER QUIK SHOT BLUE";"VILLA NUEVA SOCIEDAD ANONIMA";"Propio";
"26-108";"ZONISAMIDA J' ANVIER";"LABORATORIOS J' ANVIER SRL";"Propio";
"26-109";"EQUI - CARE EQUI FLEX PLUS";"EC LABS SA";"Propio";
"26-110";"MYCOGARD";"VETANCO S. A.";"Propio";
"26-112";"CALMAPET";"VON FRANKEN S A I C";"Propio";
"26-113";"VELACTIS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"26-114";"NUTRIXCEL PLUS";"PRODUCTOS AGROGANADEROS S.R.L.";"Propio";
"26-115";"RECOMBITEK ORAL BORDETELLA";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"26-116";"TRANEVET";"CHEMOVET S.A.";"Propio";
"26-117";"DELLA PRO CONCENTRADO";"DELAVAL S.A";"Propio";
"26-118";"PENCIL PRONTO";"MAUSIND S.R.L.";"Propio";
"26-120";"IDEXX SNAP* BVDV";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"26-121";"PETMIX CONDROGUARD 55/45";"ENSOL S A";"Propio";
"26-122";"TITAN";"DELAVAL S.A";"Propio";
"26-123";"AMOXIVET DUO JOHN MARTIN";"JOHN MARTIN SRL";"Propio";
"26-124";"MOKSHA SHAMPOO EXTRA SUAVE ALOE Y AVENA + PANTENOL";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"26-125";"FLORVET 20 WS";"ENSOL S A";"Propio";
"26-126";"ZOOBIOTIC GLOBULIT 150 MG/G";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-127";"BURLONE L";"LABORATORIOS BIMEX S R L";"Propio";
"26-128";"APIFIX SOLUCIÓN ADHESIVA";"DERMOVET S.R.L.";"Propio";
"26-129";" IODO DOBLE SW";"NATURAL SOLUTIONS S.R.L.";"Propio";
"26-131";"TILCOMINA 25% ORAL";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-132";"AFTOGAN";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Propio";
"26-134";"TABIC IB VAR 206";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"26-135";"CDVAC REPROMAX";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"26-136";"APIFIX CREMA";"DERMOVET S.R.L.";"Propio";
"26-137";"ALTRESYN";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"26-138";"PREDNISOLONA RUMINAL SABORIZADA";"RUMINAL  S.A.";"Propio";
"26-139";"TOALLITAS HÚMEDAS MACHOS PET CLEAN";"AVAIRAM S.A.";"Propio";
"26-140";"CEFTIOMIC PLUS";"MIVET SA";"Propio";
"26-141";"HEPATONE PILLS";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"26-142";"WHITE ICE SPORT HORSE";"SPORT.HORSE S.A";"Propio";
"26-143";"CARTIGEN PLUS";"VON FRANKEN S A I C";"Propio";
"26-144";"DAIRY CLEAN-SAFE";"SEGANET S. A. S.";"Propio";
"26-146";"CHIC N° 2";"AGREED LABORATORIOS S A";"Propio";
"26-150";"GANAFORT 50";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"26-153";"IMIDOSEN";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"26-154";"BIOVALENTE";"CEVASA S. A.";"Propio";
"26-155";"COLORANTE MARCADOR - ROJO";"INTERVET ARGENTINA SA";"Propio";
"26-156";"NOBIVAC DHPPI+L";"INTERVET ARGENTINA SA";"Propio";
"26-157";"CDVAC REPROMAX PLUS";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"26-158";"CONDROVITAL HA";"LABORATORIOS RODENTHIA S.A";"Propio";
"26-159";"CURA CREM";"NATURAL SOLUTIONS S.R.L.";"Propio";
"26-160";"DILUYENTE PARA PORCILIS LAWSONIA ID";"INTERVET ARGENTINA SA";"Propio";
"26-163";"TOALLITAS HÚMEDAS HEMBRAS PETCLEAN";"AVAIRAM S.A.";"Propio";
"26-164";"CONTINENCE";"VON FRANKEN S A I C";"Propio";
"26-166";"AVIAX PLUS NF";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"26-167";"NUMELVI";"INTERVET ARGENTINA SA";"Propio";
"26-169";"URANOTEST MOQUILLO ADENOVIRUS";"DERMOVET S.R.L.";"Propio";
"314";"ANTIAFTOSA SAN JORGE POLIVALENTE DE APLICACION SUBCUTANEA";"BIOGENESIS BAGO S.A.";"Propio";
"74024";"VITAMINAS ADE INYECTABLE DE ZOETIS";"ZOETIS ARGENTINA S R L";"Propio";
"74029";"REVERVAC HEMOGLOBINURIA";"BIOGENESIS BAGO S.A.";"Propio";
"74105";"BETAMETASONA INYECTABLE PAUL";"PROMOPET SRL";"Propio";
"74115";"POLICALCINA";"BIOGENESIS BAGO S.A.";"Propio";
"74129";"POLIVITAMINOL POLVO";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"75014";"STAFAC 500";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"75023";"TERRAMICINA SOLUCION  INYECTABLE";"ZOETIS ARGENTINA S R L";"Propio";
"75063";"ESTREPTOCARBOCAFTIAZOL";"BIOGENESIS BAGO S.A.";"Propio";
